Komentar,Case Folding,Remove Number & Remove Punctuation,Tokenizing,Remove Stop Word,Stemming,Perbaikan Kata
"Pengen bgt bisa vaksin, tapi belom kebagian jadwal??",pengen bgt bisa vaksin tapi belom kebagian jadwal,pengen bgt bisa vaksin tapi belom kebagian jadwal,"['pengen', 'bgt', 'bisa', 'vaksin', 'tapi', 'belom', 'kebagian', 'jadwal']","['pengen', 'bgt', 'vaksin', 'belom', 'kebagian', 'jadwal']","['ken', 'bgt', 'vaksin', 'bom', 'bagi', 'jadwal']",ingin banget vaksin belum bagi jadwal
Mau bgt divaksin..sdh kesana kemari sll kuotanya hbs.terakhir di kelurahan .hbs kuotanya..tidak ada koordinasi antara RT RW jd kita warga tidak tau berita..pwmerintah Bekasi gimana ??,mau bgt divaksinsdh kesana kemari sll kuotanya hbsterakhir di kelurahan hbs kuotanyatidak ada koordinasi antara rt rw jd kita warga tidak tau beritapwmerintah bekasi gimana ,mau bgt divaksinsdh kesana kemari sll kuotanya hbsterakhir di kelurahan hbs kuotanyatidak ada koordinasi antara rt rw jd kita warga tidak tau beritapwmerintah bekasi gimana ,"['mau', 'bgt', 'divaksinsdh', 'kesana', 'kemari', 'sll', 'kuotanya', 'hbsterakhir', 'di', 'kelurahan', 'hbs', 'kuotanyatidak', 'ada', 'koordinasi', 'antara', 'rt', 'rw', 'jd', 'kita', 'warga', 'tidak', 'tau', 'beritapwmerintah', 'bekasi', 'gimana']","['bgt', 'divaksinsdh', 'kesana', 'kemari', 'sll', 'kuotanya', 'hbsterakhir', 'kelurahan', 'hbs', 'kuotanyatidak', 'koordinasi', 'rt', 'rw', 'jd', 'warga', 'tau', 'beritapwmerintah', 'bekasi', 'gimana']","['bgt', 'divaksinsdh', 'kesana', 'kemari', 'sll', 'kuota', 'hbsterakhir', 'lurah', 'hbs', 'kuotanyatidak', 'koordinasi', 'rt', 'rw', 'jd', 'warga', 'tau', 'beritapwmerintah', 'bekas', 'gimana']",banget vaksin sudah kesana ke mari selalu kuota habis akhir kelurahan habis kuota tidak koordinasi rt rw jadi warga tau berita perintah bekasi bagaimana
Min @kemenkes_ri  mau pfizer. Bayar di (-1jt) pun gpp....bikin vidio sekanario yg nyata... Seperti tdk jaga kesehatan . Kenak ?? virus. Mati /keluarga mati nangis 2...sedih. br bikin vidio kedua . Org yg ud di vaksin gk jd mati. Keluarga sehat semua... Bebas corona jaga kesehatan gt Lho .. dan add pasang iklan d mana2  dan tiap tv harus tayang kan iklan gt lho.bukan di goreng dan takut2in  gt. Cm saran aja....,min mau pfizer bayar di jt pun gppbikin vidio sekanario yg nyata seperti tdk jaga kesehatan kenak virus mati keluarga mati nangis sedih br bikin vidio kedua org yg ud di vaksin gk jd mati keluarga sehat semua bebas corona jaga kesehatan gt lho dan add pasang iklan d mana dan tiap tv harus tayang kan iklan gt lhobukan di goreng dan takutin gt cm saran aja,min mau pfizer bayar di jt pun gppbikin vidio sekanario yg nyata seperti tdk jaga kesehatan kenak virus mati keluarga mati nangis sedih br bikin vidio kedua org yg ud di vaksin gk jd mati keluarga sehat semua bebas corona jaga kesehatan gt lho dan add pasang iklan d mana dan tiap tv harus tayang kan iklan gt lhobukan di goreng dan takutin gt cm saran aja,"['min', 'mau', 'pfizer', 'bayar', 'di', 'jt', 'pun', 'gppbikin', 'vidio', 'sekanario', 'yg', 'nyata', 'seperti', 'tdk', 'jaga', 'kesehatan', 'kenak', 'virus', 'mati', 'keluarga', 'mati', 'nangis', 'sedih', 'br', 'bikin', 'vidio', 'kedua', 'org', 'yg', 'ud', 'di', 'vaksin', 'gk', 'jd', 'mati', 'keluarga', 'sehat', 'semua', 'bebas', 'corona', 'jaga', 'kesehatan', 'gt', 'lho', 'dan', 'add', 'pasang', 'iklan', 'd', 'mana', 'dan', 'tiap', 'tv', 'harus', 'tayang', 'kan', 'iklan', 'gt', 'lhobukan', 'di', 'goreng', 'dan', 'takutin', 'gt', 'cm', 'saran', 'aja']","['min', 'pfizer', 'bayar', 'jt', 'gppbikin', 'vidio', 'sekanario', 'yg', 'nyata', 'tdk', 'jaga', 'kesehatan', 'kenak', 'virus', 'mati', 'keluarga', 'mati', 'nangis', 'sedih', 'br', 'bikin', 'vidio', 'org', 'yg', 'ud', 'vaksin', 'gk', 'jd', 'mati', 'keluarga', 'sehat', 'bebas', 'corona', 'jaga', 'kesehatan', 'gt', 'lho', 'add', 'pasang', 'iklan', 'd', 'tv', 'tayang', 'iklan', 'gt', 'lhobukan', 'goreng', 'takutin', 'gt', 'cm', 'saran', 'aja']","['min', 'pfizer', 'bayar', 'jt', 'gppbikin', 'vidio', 'sekanario', 'yg', 'nyata', 'tdk', 'jaga', 'sehat', 'nak', 'virus', 'mati', 'keluarga', 'mati', 'nang', 'sedih', 'br', 'bikin', 'vidio', 'org', 'yg', 'ud', 'vaksin', 'gk', 'jd', 'mati', 'keluarga', 'sehat', 'bebas', 'corona', 'jaga', 'sehat', 'gt', 'lho', 'add', 'pasang', 'iklan', 'd', 'tv', 'tayang', 'iklan', 'gt', 'lhobukan', 'goreng', 'takutin', 'gt', 'cm', 'saran', 'aja']",admin pfizer bayar juta tidak apa apa bikin video skenario yang nyata tidak jaga sehat mau virus mati keluarga mati yang sedih baru bikin video orang yang udah vaksin tidak jadi mati keluarga sehat bebas corona jaga sehat gitu lho ada pasang iklan di tv tayang iklan gitu lho bukan goreng takut gitu cuma saran aja
"gmn mau vaksin min @kemenkes_ri dtg kmn2 kuota penuh, kalo ga sesuai KTP di tolak, bisa ga ya kira2 lebih fleksibel begitu, dimana aja yg lebih dekat dri rumah, biar ndak kluar rumah jauh2.",gmn mau vaksin min dtg kmn kuota penuh kalo ga sesuai ktp di tolak bisa ga ya kira lebih fleksibel begitu dimana aja yg lebih dekat dri rumah biar ndak kluar rumah jauh,gmn mau vaksin min dtg kmn kuota penuh kalo ga sesuai ktp di tolak bisa ga ya kira lebih fleksibel begitu dimana aja yg lebih dekat dri rumah biar ndak kluar rumah jauh,"['gmn', 'mau', 'vaksin', 'min', 'dtg', 'kmn', 'kuota', 'penuh', 'kalo', 'ga', 'sesuai', 'ktp', 'di', 'tolak', 'bisa', 'ga', 'ya', 'kira', 'lebih', 'fleksibel', 'begitu', 'dimana', 'aja', 'yg', 'lebih', 'dekat', 'dri', 'rumah', 'biar', 'ndak', 'kluar', 'rumah', 'jauh']","['gmn', 'vaksin', 'min', 'dtg', 'kmn', 'kuota', 'penuh', 'kalo', 'ga', 'sesuai', 'ktp', 'tolak', 'ga', 'ya', 'fleksibel', 'dimana', 'aja', 'yg', 'dri', 'rumah', 'biar', 'ndak', 'kluar', 'rumah']","['gmn', 'vaksin', 'min', 'dtg', 'kmn', 'kuota', 'penuh', 'kalo', 'ga', 'sesuai', 'ktp', 'tolak', 'ga', 'ya', 'fleksibel', 'mana', 'aja', 'yg', 'dri', 'rumah', 'biar', 'ndak', 'kluar', 'rumah']",bagaimana vaksin admin datang mana kuota penuh kalau tidak sesuai ktp tolak tidak ya fleksibel mana aja yang dari rumah biar tidak keluar rumah
Apakah vaksin C19 aman untuk penyitas Autoimun ? Atau apakah kami yg Autoimun bisa di berikan vaksinasi ?  Mohon infonya.,apakah vaksin c aman untuk penyitas autoimun atau apakah kami yg autoimun bisa di berikan vaksinasi mohon infonya,apakah vaksin c aman untuk penyitas autoimun atau apakah kami yg autoimun bisa di berikan vaksinasi mohon infonya,"['apakah', 'vaksin', 'c', 'aman', 'untuk', 'penyitas', 'autoimun', 'atau', 'apakah', 'kami', 'yg', 'autoimun', 'bisa', 'di', 'berikan', 'vaksinasi', 'mohon', 'infonya']","['vaksin', 'c', 'aman', 'penyitas', 'autoimun', 'yg', 'autoimun', 'vaksinasi', 'mohon', 'infonya']","['vaksin', 'c', 'aman', 'penyitas', 'autoimun', 'yg', 'autoimun', 'vaksinasi', 'mohon', 'info']",vaksin covid aman sintas autoimun yang autoimun vaksinasi mohon informasi
Vaksin ke 3 untuk sinovac kapan ya @kemenkes_ri ? Trims,vaksin ke untuk sinovac kapan ya trims,vaksin ke untuk sinovac kapan ya trims,"['vaksin', 'ke', 'untuk', 'sinovac', 'kapan', 'ya', 'trims']","['vaksin', 'sinovac', 'ya', 'trims']","['vaksin', 'sinovac', 'ya', 'trims']",vaksin sinovac ya terima kasih
"Vaksinisasi, apakah vaksin itu berpengaruh dengan varian"" covid lain nya kah? *coba bertanya sapa tau di jawab yakan??????",vaksinisasi apakah vaksin itu berpengaruh dengan varian covid lain nya kah coba bertanya sapa tau di jawab yakan,vaksinisasi apakah vaksin itu berpengaruh dengan varian covid lain nya kah coba bertanya sapa tau di jawab yakan,"['vaksinisasi', 'apakah', 'vaksin', 'itu', 'berpengaruh', 'dengan', 'varian', 'covid', 'lain', 'nya', 'kah', 'coba', 'bertanya', 'sapa', 'tau', 'di', 'jawab', 'yakan']","['vaksinisasi', 'vaksin', 'berpengaruh', 'varian', 'covid', 'nya', 'kah', 'coba', 'sapa', 'tau', 'yakan']","['vaksin', 'vaksin', 'pengaruh', 'varian', 'covid', 'nya', 'kah', 'coba', 'sapa', 'tau', 'yakan']",vaksin vaksin pengaruh varian covid nya kah coba siapa tau iya kan
Kapan bisa bebas spt dlu? Nunggu divaksin 50% dr jumlah penduduk ya berarti?? #Nanya,kapan bisa bebas spt dlu nunggu divaksin dr jumlah penduduk ya berarti nanya,kapan bisa bebas spt dlu nunggu divaksin dr jumlah penduduk ya berarti nanya,"['kapan', 'bisa', 'bebas', 'spt', 'dlu', 'nunggu', 'divaksin', 'dr', 'jumlah', 'penduduk', 'ya', 'berarti', 'nanya']","['bebas', 'spt', 'dlu', 'nunggu', 'divaksin', 'dr', 'penduduk', 'ya', 'nanya']","['bebas', 'spt', 'dlu', 'nunggu', 'vaksin', 'dr', 'duduk', 'ya', 'nanya']",bebas seperti dulu tunggu vaksin dari duduk ya tanya
Mau vaksin nusantara min,mau vaksin nusantara min,mau vaksin nusantara min,"['mau', 'vaksin', 'nusantara', 'min']","['vaksin', 'nusantara', 'min']","['vaksin', 'nusantara', 'min']",vaksin nusantara admin
jelaskan kepada kami kasus orang yg meninggal setelah beberapa hari di vaksin,jelaskan kepada kami kasus orang yg meninggal setelah beberapa hari di vaksin,jelaskan kepada kami kasus orang yg meninggal setelah beberapa hari di vaksin,"['jelaskan', 'kepada', 'kami', 'kasus', 'orang', 'yg', 'meninggal', 'setelah', 'beberapa', 'hari', 'di', 'vaksin']","['orang', 'yg', 'meninggal', 'vaksin']","['orang', 'yg', 'tinggal', 'vaksin']",orang yang tinggal vaksin
Gimana nih jadwal vaksin keluar saat bapilpa ????? apa boleh diundur?,gimana nih jadwal vaksin keluar saat bapilpa apa boleh diundur,gimana nih jadwal vaksin keluar saat bapilpa apa boleh diundur,"['gimana', 'nih', 'jadwal', 'vaksin', 'keluar', 'saat', 'bapilpa', 'apa', 'boleh', 'diundur']","['gimana', 'nih', 'jadwal', 'vaksin', 'bapilpa', 'diundur']","['gimana', 'nih', 'jadwal', 'vaksin', 'bapilpa', 'undur']",bagaimana ini jadwal vaksin bapilpa undur
"Di daerah kami...ada kalangan masyarakat yg gk mau d vaksin..dari pihak pemerintah telah mengeluarkan statmen klau masyrakt tdk mau d vaksin,klu ada keperluan pengurusan hal penting d kantr mereka tidak akan melayani dan itu akan d layani apabila ad tnda bukti vaksinasi...trs bagaimana ini...in pengacaman atw apa dr pihak pemerintah kami...mohon pencerahannya",di daerah kamiada kalangan masyarakat yg gk mau d vaksindari pihak pemerintah telah mengeluarkan statmen klau masyrakt tdk mau d vaksinklu ada keperluan pengurusan hal penting d kantr mereka tidak akan melayani dan itu akan d layani apabila ad tnda bukti vaksinasitrs bagaimana iniin pengacaman atw apa dr pihak pemerintah kamimohon pencerahannya,di daerah kamiada kalangan masyarakat yg gk mau d vaksindari pihak pemerintah telah mengeluarkan statmen klau masyrakt tdk mau d vaksinklu ada keperluan pengurusan hal penting d kantr mereka tidak akan melayani dan itu akan d layani apabila ad tnda bukti vaksinasitrs bagaimana iniin pengacaman atw apa dr pihak pemerintah kamimohon pencerahannya,"['di', 'daerah', 'kamiada', 'kalangan', 'masyarakat', 'yg', 'gk', 'mau', 'd', 'vaksindari', 'pihak', 'pemerintah', 'telah', 'mengeluarkan', 'statmen', 'klau', 'masyrakt', 'tdk', 'mau', 'd', 'vaksinklu', 'ada', 'keperluan', 'pengurusan', 'hal', 'penting', 'd', 'kantr', 'mereka', 'tidak', 'akan', 'melayani', 'dan', 'itu', 'akan', 'd', 'layani', 'apabila', 'ad', 'tnda', 'bukti', 'vaksinasitrs', 'bagaimana', 'iniin', 'pengacaman', 'atw', 'apa', 'dr', 'pihak', 'pemerintah', 'kamimohon', 'pencerahannya']","['daerah', 'kamiada', 'kalangan', 'masyarakat', 'yg', 'gk', 'd', 'vaksindari', 'pemerintah', 'mengeluarkan', 'statmen', 'klau', 'masyrakt', 'tdk', 'd', 'vaksinklu', 'keperluan', 'pengurusan', 'd', 'kantr', 'melayani', 'd', 'layani', 'ad', 'tnda', 'bukti', 'vaksinasitrs', 'iniin', 'pengacaman', 'atw', 'dr', 'pemerintah', 'kamimohon', 'pencerahannya']","['daerah', 'kamiada', 'kalang', 'masyarakat', 'yg', 'gk', 'd', 'vaksindari', 'perintah', 'keluar', 'statmen', 'klau', 'masyrakt', 'tdk', 'd', 'vaksinklu', 'perlu', 'urus', 'd', 'kantr', 'layan', 'd', 'layan', 'ad', 'tnda', 'bukti', 'vaksinasitrs', 'iniin', 'kacam', 'atw', 'dr', 'perintah', 'kamimohon', 'cerah']",daerah kami ada kalang masyarakat yang tidak di vaksin dari perintah keluar statmen kalau masyarakat tidak di vaksin kalau perlu urus di kantor layan di layan ada tanda bukti vaksinasi terus ini ancam atau dari perintah kami mohon cerah
Percuma donk dok vaksin kalau harus pakai masker,percuma donk dok vaksin kalau harus pakai masker,percuma donk dok vaksin kalau harus pakai masker,"['percuma', 'donk', 'dok', 'vaksin', 'kalau', 'harus', 'pakai', 'masker']","['donk', 'dok', 'vaksin', 'pakai', 'masker']","['donk', 'dok', 'vaksin', 'pakai', 'masker']",dong dokter vaksin pakai masker
