Username,Komentar,Label
husadanikun,"Ini yg di sebut kontrol otoriter, walaupun sudah di vaksin anda tetap di paksa menggunakan masker saat bekerja, di stasiun dan tempat tempat lainya sampai tujuan mereka tercapai sepenuhnya , sblm sy mengatakan bhwa fatality ratenya sangat rendah dan tingkat kesembuhannya yg sangat tinggi, bandingkan dgn negara lain, Perancis, jerman, spanyol, Inggris, usa sudah tdk mewajibkan masker dan presiden Rusia Vladimir putin tdk mewajibkan warganya utk di vaksin, atau yg paling dekat singapura menganggap covid sbg flu biasa, menggunakan masker setiap 8 jam sehari saat bekerja selama setahun lebih tdk membuat anda sehat, silahkan tnya ahli kesehatan anda justru memperburuk keadaan.",Negatif
epon_yulandes,"Halo, klo tetap 5m di lakukan . Buat apa di vaksin ?? Pembodohan",Negatif
azmyrehap1,Kayak taik aja yang dikedepankn vaksin terus. Kayak jaman sekarang makanan sehat itu tergantung sama vaksin deh.setahuku dari dulu kebugaran tubuh diperoleh dengn makanan sehat 5 sempurna + olah raga.kasih makanan pokok sama rakyat untuk beli Sayur sayuran sama buah buhan bukan malah vaksinan terus diandalkan.payah kayak taik bener kehidupan negara ini.udah semua serba bisnis.rakyatnya aja dibisnisin. Hadeeeehhh. Bahas covid Bahas vaksin jadi bosen dengernya.serasa kasihn sama penyakit penyakit lainnya sudah gak Ada pembahasan gara gara covid.,Negatif
anikurniasih05,Min..nanya dong orang yang terkena covid bisa vaksin langsung atau harus nunggu?,Netral
nadya_annette,"Hallo min, untuk WNI dan Suami WNA yg Sudah divaksin dan akan mengunjungi bulan Agustus, apa masih harus karantina? Dan apa Sudah bisa karantina Di bali lagi? Karena tujuan kami Bali, ingin menghindari Jakarta min. ??",Positif
kevinfox1945,"Ada teman sebelum divaksin dia positif covid-19, lah setelah divaksin 2x pun dia kena positif covid-19 lagi. Piye iki tho, buk?",Negatif
hannafadhilla,"Tlg percepat vaksin pfizer/moderna di Indonesia untuk efektifitas vaksin yg lebih baik. Jika disuruh bayar, saya yakin banyak yg mau",Positif
ayani13luv,Gimana vaksin klo vaksinnya blm ada?!Orang tua di atas 60 thn aja belum dapat jatah vaksin di seputih raman .lampung tengah.semoga vaksinasi bisa segera merata,Positif
novi_nurmayanti,Ibu hamil udah boleh di vaksin belum sih?,Netral
khalinaaaa55,"Min saya vaksin tgl 26 kemaren,tapi sampe sekarang pegel sama kebas nya bekas suntikan blm ilang2 kadang malah sakit,itu gpp kah?trs cara ngilangin sakit nya gimana?",Positif
edyhendryan,"Udah vaksin pertama.mau tanya,jarak vaksin ke 1 dgn vaksin ke 2 berapa bulan @kemenkes_ri .  vaksin SINOVAC.terimakasih ??????????",Positif
yontnow,MAU VAKSIN TAPI HARUS PAKE SURAT DOMISILI ALHASIL KAGA JADI DEH VAKSIN ( KENAPA RIBET BEGINI ? ) GAK VAKSIN DI ANJURKAN VAKSIN..MAU VAKSIN TAPI DIRIBETIN,Negatif
epon_yulandes,"Facksin atau gk nya kan gk bisa di paksa , itu mah pribadi , klo di paksa ya Pelangaran H.A.M Inti nya saya nolak fcksin apapun alasan nya . Sebab teman nya, yg sudah divaksin awal nya sehat2, setelah di vaksin dia sakit berminggu2,Dan ada juga yg mati rasa seperti ilang nya penciuman, dan perasa(lidah).",Negatif
yennyzein,"halo kemenkes, semoga komen saya dilihat. jumat kemarin saya vaksin pertama di epiwalk kuningan tp sampe skg belum dapat sertifikat vaksin. mohon bantuannya ??????",Positif
ardilaputri037,"Pagi , saya mau daftar vaksin gratis di Depok apakah ada cara online ? Krna saya sudah dtg dari jam 5 pagi ke polres Depok , tp kerumunan bahkan tetep tidak dapat nomor . Sangat mengecewakan .",Negatif
diandiana161,"Alhamdulillah vaksin dh lengkap 2 kali, prokes insyaa Allah dijaga .. e..eh alhamdulilah masih terpapar juga .. kira² kenapa ya ..? Apakah jenis vaksin mempengaruhi daya than kita ya..? Ada jenis vaksin yg virusnya di lemahkan , dan ada yg virusnya di matikan .. apakah itu bisa jafi sebab kita msh bisa terpapat ya..? Mhn penjelasan donk .. n bgmana solusinya ..?",Positif
flashmart.official,"Uda daftar vaksin online masih ditolak karena ga ada surat domisili,kebijakan pusat sama daerah beda ?? percuma daftar online juga ??",Negatif
suparno642,Saya sudah d vaksin pertama uda hmpir 2 minggu...kenapa sampai sekarang blom dpt SMS... Padahal NIK sm nomer HP sudah benar...,Positif
abigail_verachristy,Tetapi nyatanya  sulit sekali utk vaksin ..terlalu bnyk syarat ..bukan nta cukup bawa ktp aja????,Negatif
citra_mci24,Alhamdulillah kami sdh di Vaksin,Positif
ayu14.a,Sudah vaksin tapi tidak dapat sertifikat vaksin.. Cek di apl peduli lindungi juga sudah trcatat vaksin 1 tapi ttp tidak ada sertifikat.. Pdahal itu dibutuhin kantor.. Solusinya gmn ini,Positif
viantiaa,Blm di vaksin karena lagi pengobatan dan ada riwayat bronkhitis..dan suami lagi isoman di rumah wes sangune doa vitamin makan bener teratur..bismilah...,Negatif
s.nugroho18,"Sudah divaksin pertama diGBK tapi didata belom divaksin, untuk complaint kemana ya.?",Positif
aie.licious,"Saya mau dgn senang hati vaksin, tp vaksin yg nolak saya krn pd pke domisili ?? sdgkan kabupaten domisili saya lansia aj blm kelar ??",Positif
novan_ali_09,"Kepada bapak/ibu @kemenkes_ri apakah untuk vaksin harus melihat bidang pekerjaan nya apa? Saya baru saja dari PUSKESMAS KALIJUDAN SURABAYA, nanya apakah bisa vaksin, lalu di tanya umur, saya jawab 35, lalu dijawab iy bisa, lalu ditanya pekerjaan saya jawab Asisten rumah tangga, lgsg dijawab maaf belum bisa untuk ART, untuk ART baru bisa untuk umur 50+, apakah pekerjaan bisa menjadi salah satu syarat? Virus nya apakah tidak mau kalo sama ART? Mohon arahannya terima kasih ??????",Negatif
minamxsaaa,"ayuk dong vaksin gaes, gua dah 2 kali vaksin allhamdulillah ga jadi titan nih,",Positif
tha22wul,Kalo ada petugas puskes yg bilang vaksin bukan segalanya enaknya disumpahin apa yak. Sumpah mau vaksin aja diribetin. Tlg jelasin persyaratan detil donk biar kita biaa tahu kita siap vaksin atau tidak.,Negatif
elhasibzain_,Jdi orang yg bgus imunnya gak perlu du vaksin?,Negatif
merycarventry,"Apakah benar Anak umur 12-17 sudah dapat divaksin karna dapat postingan dari @jakbar,Bisa kasih tau apakah ini hoax atau berita real?",Netral
hidahhusni,mimin mohon informasinya dong untuk vaksinasi umur 12-17...,Positif
ces_ar76,"Liga 1 knp di tunda terus,padahal kita bisa contoh liga luar negeri yg menerapkan protokol/membolehkan adanya penonton yg sudah vaksin,apa susahnya gitu,dan sekolah harus PJJ lagi?hey emang pelajaran itu penting,tapi fungsi dari sekolah itu bukan hanya mengajarkan ilmu,tapi mengajar kan para muridnya akhlak yang baik",Netral
baby_takha,"Min,maaf mau tanya.. Kalau habis vaksin blm dapat sertifikat meski sudah lewat 1 minggu vaksin pertama, kira2 mintanya kemana ya ? buat keperluan pekerjaan min. Mohon balas ya admin baik..",Positif
pipitcuit,mhn info vaksinasi gotong royong ini jd dilaksanakan ato tdk ya pak/bu? staf kantor kami kesusahan utk mendapatkan akses vaksinasi yg skg berjalan ??lokasi surabaya,Positif
ratihfebriyanti__,Min saya sudah vaksin tapi tidak dapat SMS terkait sertifikat vaksinasi sedangkan temen² saya dapet. Gimana ya min ?,Negatif
nandaramadhannnn,INFO VAKSIN JAKARTA YG MASIH ADA,Positif
thedywirawan,"Mau vaksin susah di Surabaya, tidak merata, informasi tidak jelas, banyak masyarakat mau vaksin, tp tidak bisa,, katanya sudah waktunya vaksin 18 keatas, kenyataannya  tidak sesuai, saya daftar di pemkot tgl 14 Juni sampai sekarang tidak ada panggilan, sedangkan yg yang daftar tgl 20 Juni sudah dapat jadwal,, penasaran sama sistemnya berdasarkan apa sih yang mau di vaksin, pekerjaan saya keliling kota terus, dikantor ada puluhan yg kena covid. Tp mau vaksin ga bisa @kemenkes_ri",Negatif
iqbal14733,Bacot lah untuk apa fungsi vaksin kalau terus gini mah covid bisnis,Negatif
tyagandawulan,kalo sudah divaksin meriang terus kenapa ya ? dan obatnya apa ? ada yng tau ?,Negatif
hawaaaaa._,"Selamat siang, mohon bertanya. Jadi sebulan yang lalu ibu saya sudah vaksin, dan sudah lengkap 2x. Tetapi tadi saat saya cek keterangan nya baru 1x. Itu gmn ya?",Positif
hawaaaaa._,"Selamat siang, mohon bertanya. Jadi sebulan yang lalu ibu saya sudah vaksin, dan sudah lengkap 2x. Tetapi karena ke tidak tahuan ibu saya, beliau tidak mengisi no hp. Jadi beliau tidak mendapat link sertifikat vaksin. Lalu bagaimana agar beliau mendapatkan sertifikat tsb ?",Positif
sherlee2004,yok say.. jgn tkt vaksin yah.. aku msh pgn brg2 ngebucin suju sama km nih ?? @severinecyp mari terus ada untuk org2 sekitar yg menyayangi kita ???????? hugss,Positif
pratiwicitra12,Mau daftar vaksinasi lewat aplikasi Jaki gak bisa. Gak bisa milih lokasi vaksinasi. Datanya gak ada terus. Padahal udah coba select semua kelurahan. Bahkan ganti kota administrasi dari jaksel ganti ke jakpus. Tapi masih belum tersedia lokasi vaksinasi. Gimana min???,Positif
tedikamang,"ini saya dari jogja mau melakukan penerbangan ke luar kota tgl 6 dan di tgl 3 ada kebijakan harus wajib vaksin. Yg saya heran knapa kebijakan ini di lakukan dengan cara dadakan dan saya tidak bisa vaksin di karna kan hampir seluruh lokasi yg menyediakan vaksin harus berdomisili jogja, sedangkan saya bukan aaali jogja trus solusi kalian sebagai pemerin terkait kasus ini seperti apa?MOHON DI JWAB YA",Negatif
dicky_r_j,"@kemenkes_ri @pedulilindungi.id , mohon info bagaimana cara mendaftarkan sertifikat vaksin yg didapat dari luar negeri? Terimakasih sebelumnya",Netral
artiutami,"Mau vaksin aja dipersusah lalu kenapa aturan diberlakukan, @kemenkes_ri tolong dong rakyak kecil kudu gimana? Berjuang dari jumat sampai detik ini cuman mau vaksin aja, ?????????? harus mengadu kemana",Negatif
tyas.septianii,"Nyari vaksinnya aja susah, gmn mau vaksin, yg kerja mah enak dpt dari kantor.. Yg ga kerja dan bukan siapa siapa nyari aja susah",Negatif
igoesajadeh,"nyari vaksin susah, katanya mau cepat, kenyataan di belit2 pake batas2 apalagi vaksin anak pake aplikasi hitungan jam aja penuh semua",Negatif
sukma_maisa,"Enak yahh nyuruh vaksin, TAPI KUOTA DIKITTT BANGET. MASYARAKAT KECEWA. apalagi kalo sistem informasi nya sangat² kurang jelas. Bahkan ada yg pakai orng dalam. Hufttt..??",Negatif
augnnareen,"@nadaayrl yang inimi kita baca terus postingannya nad, lebih bagus dibaca dan bermanfaat ketimbang bacaki postingan sebelah yg malah bikin kt tambah bimbang, berpikiran negatif terus masalah reaksi vaksin yg belum tentu terjadi sama kt dan keluarga ta ????, setelah vaksin memang masih bisa kena covid kalau prokes ta tdk kt jaga, setidaknya dengan vaksin kalau kena covid pun gejalanya tidak sampai parah paling ringan gejala hanya mirip flu biasa ?? sekian wassalamu alaikum wr wb??",Positif
theresiagoni,Mohon info vaksinasi umum utk Surabaya timur@kemenkes,Positif
_zulhija,Apakah bisa vaksin tahap ke 2 dilakukan di tempat lain?tidak di tempat yang sama,Netral
prassetyo04,dr. Louis ......tunggu vaksin Nusantara baru vaksin suda jelas ...halal dan aman. Dan tdk bahaya,Positif
lilisknisa2,"Mohon Sarannya.. Suami memiliki penyakit asam lambung yg setiap hari kambuh, Aritmia jantung & vertigo / 7 keliling, apakah bisa mengikuti vaksinasi ??. Mohon bapak / ibu Sarannya",Netral
afan1694,"Saya sdh mencoba mendaftar vaksin online di puskesmas dekat rumah namun blm ada respon,ke puskesmas langsung gak di terima,harus daftar dulu,tapi daftar gak ada respon,tanya satpam nya satpamnya bilang tunggu giliran panggilan,1 hari 1 puskesmas cuma sanggup layani 100 orang,bingung nih,gak tau kapan di panggil untuk vaksin?",Negatif
judri_lg,"Sampe hari ini gw belum juga dapet vaksin, udah coba cek daftar online gak bisa bisa apalagi daftar lewat JAKI wkwkwk. Coba aja sendiri.",Negatif
adipatikakanda,saya sudah di vaksin cuma belum dapat sertifikat karena  salah catat nomor telepon ...solusinya bagaimana admin,Positif
pratiwiidinda_,"Mau tanya dong, apa iya kalo irang pernah positif dan belum vaksin sama sekali. Kalau mau vaksin harus nunggu 3 bulan dulu??",Netral
kurtniaonebae,Rakyat indonesia jumlah nya berapa ya ? Kira kira udah sampe berapa % yg udah di vaksin ? #kesel sama si covid ngetem nya lama banget di indonesia,Netral
umi2814nurul,Saya sdh vaksin 2 kali .tapi blm mendapatkan sertifikatnya.sdh cek di peduli lindungi tetapi blm terdaftar.bagaimana cara mendapatkan sertifikatnya trims,Positif
nanaismetwo,untuk vaksin lain selain sinovac caranya gimna ya?  saya dan anak akan study ke canada. mereka tidak terima pendatang yg sudah di vaksin sinovac. kebanyakan negara eeopa juga ga terima. jdi gimana dong?,Netral
nanaismetwo,kalau mau di vaksin apa harus pcr dulu ya?,Positif
yunitaofficial12,Podo.wae vaksin ora vaksin tetep iso kene korona percumaa,Negatif
moch_ademaulidin,Hari ini istri saya vaksin dosis kedua di stadion pakansari tapi mengapa tidak dapat kartu vaksin? Terima kasih,Positif
yaaseenn_17,"Yang uda di vaksin, dikemudian hari kena KIPI bahkan sampe² ada yang meninggal. "" Siapa Yang Mau Tanggung Jawabbbbb ???? """,Negatif
bettanu_sa,"@kemenkes_ri , saya melakukan registrasi vaksin tetapi saat input nik muncul nama yg berbeda, saya sudah lapor ke dukcapil dan BPJS tetapi di instansi tersebut sudah sesuai, solusinya gmana ya?",Netral
piusjogja,"Mohon dgn sangat @kemenkes_ri memperbaiki tatacara pemberian vaksin. Karena banyak ketidakjelasan dan ketidakpastian di masyarakat. Sebetulnya masyarakat sangat antusias utk divaksin, namun apa daya mau daptar sj susah, masih harus daptar manual yg justru menimbulkan kerumunan dan resiko penyebaran birus. Di jaman serba digital tidak susah bg pemerintah utk mengaturnya, supaya masyarakat terlayani dgn baik dan adil, sehingga pemberian vaksin bisa maksimal. Juga perlu kiranya koordinasi yg baik antara pemerintah pusat dan daerah. PPKM menjadi momentum utk menekan laju penyebaran Covid-19.",Positif
zhafarifariz,Gak rata vaksinnya.,Negatif
purnomo_wardoyo,Belum ada info vaksin..pas ada info vaksin malah menimbulkan kerumunan..gmn ini min.?,Negatif
yudhaaaa_pratama,"@kemenkes_ri saya tinggal di daerah depok, mau divaksin aja susah bener nyari tempat, sesekali kuota di puskesmas, itupun kuota 400 orang khusus lansia, berita wajib vaksin, harus vaksin, dipaksa vaksin, tapi kita yang mau divaksin susah mendapatkan kuota, saya tinggal di serua bojongsari depok. Termasuk daerah ketat protokol kesehatan Covid-19. Di daerah khususnya jawatengah informasinteman saja dimana mana menawarkan vaksin.. dengan mudahnya, kita di kota termasuk jabodetabek.. saya di sini susah mendapatkan vaksin.",Negatif
s.tubersolum8,Kalo saya masalah vaksin nunggu dokter rawat jalan sayanya boleh atau enggak divaksin.,Positif
elsandy.as,"Akses vaksin masih kurang,aplg skrg mjd syarat perjalanan....",Negatif
rn_cleopatra,"Kapan dong vaksin Nusantara keluar. Kenapa harus trus menggunakan vaksin dari luar mana sekarang diharuskan pula apalagi kalau mau naik pesawat. Kemaren di berita di tv ada beberapa pejabat pemerintah yg jadi relawan vaksin nusantara, trus gmn berita selanjutnya... kpn bpom setujui vaksin milik negara sendiri? Apa nunggu habis orderan vaksin dari luar? Boleh dong saya g vaksin sekarang nunggu vaksin nusantara saja. Insya allah sambil menunggu saya selalu diberikan kesehatan yah amin ??",Positif
chriztian92,Saya Vaksin pertama 2 hari lalu. Katanya  nanti bakal dapat SMS. tapi sampai skrg SMS nya gk ada.,Positif
gr33n5unday,Vaksin anak usia 3 thn apakah akan diperbolehkan di indonesia?,Netral
ratnadani_,Udah vaksin 2kali tapi sertifikat gk keluar semua????,Positif
galihpratama__,Hallloooo.... Kenapa hotline service 119 ext 9 ga bisa diakses? Perihal sertifikat vaksin gimana nih? @kemenkes_ri,Netral
e.d.o_y.o.g.a,Beritanya sudah sampai vaksinasi tahap ke dua...sedangkan saya sampai saat ini saja belum terdata dan belum mendapat informasi serta referensi undangan untuk vaksinasi tahap I melalui media apapun termasuk SMS dan Whatsapp. Ini yang mendata kinerjanya kompenten atau tidak?,Negatif
e.stwn,"@kemenkes_ri selamat pagi… bagaimana cara membatalkan kepesertaan individu di vaksinasi gotong royong?ada anggota klrg yg ingin batal ikut gotong royong, krn tidak ada kejelasan kpn nya, dia ingin ikut vaksinasi di puskesmas tp ditolak trs oleh system krn namanya sdh masuk VGR. Makasih.",Negatif
kurro0129,Info tempat vaksin di kendal/semarang yang tanpa domisili @kemenkes_ri,Positif
berry_srh,Apa guna nya vaksin? Apakah setelah vaksin knpa harus 5M . Padahal di negara lain sudah tak perlu karna alasan sudah di vaksin?,Negatif
fentyaninda,mohon infonya dong vaksin buat daerah malang,Positif
bankman303_official,"selamat malam @kemenkes_ri gimana solusiny sudah vaksin tapi di sertifikat vaksin nama beda satu hurup deng di Ktp, tapi Nik sama.",Positif
dhon43,"Kalo divaksin loh antri dan berkerumun, ntar bisa dijadikan angka kenaikan positive covid wkwkwk",Negatif
rendy_carolust,Gmana mo d vaksin.. kmrin sblm ppkm dtg kejawa skr posisi d jawatengah susah dpt akses mau vaksin buat syarat pulang. Karena ktp luar.. tanya sini gak tau tanya sono suru tanya lagi sini situ gmana dong pak aturannya apakah tdk ada surat edran sampe pelosok2 karna pulau jawa tdk semua kota sampe d desa2 nya jg di berikan sampai jelas aturanya spya mereka paham . Jgn gini di desa semua gak tau ..,Negatif
septaaaf,"Saya sekedar menyarankan, alangkah baiknya setelah menyediakan vaksin pemerintah jg memberikan beberapa obat²an spt paracetamol atau diberi vitamin untuk meredakan efek samping yg timbul dan menunjang kesehatan pasca vaksinasi. Terima Kasih",Positif
rizal.hadinata.94,Min . Saya dah vaksin ke 2 . Kok blom muncul yah sertifikat ya ??,Positif
sarahsuriani68,Mau tanya dong. Sudah vaksinasi kok belum dapat sms dapat sertifikatnya? Kenapa yah?,Positif
klima.logistics,Ijin bertanya : 1). Kami dan warga lain vaksin pertama tgl : 7 Juni 2021.  2). Dapat pemberitahuan  via sms harus datang vaksin kedua tgl. 5 juli 2021.  3). Setelah kami datang ke puskesmas yg di tunjuk di infokan bahwa vaksin kedua ada penjadwalan ulang ke tgl 7 Juli 2021.  Apakah kondisi ini masih bisa di toleransi atau kami harus kembali ulang vaksin ke tahapan pertama? Terima kasih @kemenkes_ri,Positif
eve_172001,"Udah vaksin pertama senin tgl 28 Juni kemarin tapi sertifikat vaksin blm tersedia ktanya. sms ngasih sertifikat gada sampe sekarang padahal nomor yg saya kasih itu aktif, dh cek juga di aplikasi pedulilindungi tpi gada jg??",Positif
reza_zheyn,Udah Vaksin masih harus tetep 5 M?Itu sama Juga udah Pake Kondom tapi tetep Harus “Ngeluarin” di luar!Masa sih Vaksin kalah sama Kondom???,Negatif
reza_zheyn,Vaksin harus tetep 5 M??? Masa kalah sama Kondom? Kondom aja klo dipake Bisa keluarin di dalem!,Negatif
shapar450,"Sy belum dpt sertifikat vaksin padahal sdh divaksin. Di buka di web sama aplikasi nya malah bilang ga terdaftar ???????. Pdhl sy mau merantau buat cari nafkah. Ya Allaah, selalu sj dpt birokrasi yg bobrok.",Positif
dyahlittle,Utk vaksin ibu covid buat ibu hamil dimana? Saya hamil 17 minggu udah daftar di vaksin di GOR Kalideres tapi ditolak sama dokternya,Netral
kkbetta.id,"@kemenkes_ri apakah aplikasi pedulilindungi tidak berlaku kak? Saya daftar vaksin di aplikasi tersebut dan tertera bahwa bisa vaksinasi di seluruh fasilitas kesehatan vaksinasi covid-19, hari ini saya berangkat ke puskesmas Mulyorejo di Surabaya, dan dinyatakan yang daftar dari link pedulilindungi tidak bisa mendapatkan vaksin, melainkan harus melalui aplikasi halodoc",Positif
fahmiistwn,"Dok kalau yg sudah kena covid 19 langsung apakah harus di vaksin jg? Secara antibodi juga sudah pernah melawan langsung virus nya. Mohon jawaban nya ya dok, terima kasih.",Negatif
maryati.ls,Permisi saya mau tanya .. saya sudah divaksin pertama melalui program tiket.com di RS CAROLUS kenapa saya cek NIK saya malah belum terdaftar dan sertifikat pertamanya pun belum ada tolong dong infonya,Positif
